x	y	V_num	V_ana	error_abs	error_rel
1.1	1.1	0.2307	0.2307	2.913e-05	0.0001263
1.2	1.1	0.3665	0.3665	4.444e-05	0.0001213
1.3	1.1	0.5115	0.5115	5.253e-05	0.0001027
1.4	1.1	0.665	0.6649	5.628e-05	8.464e-05
1.5	1.1	0.8263	0.8263	5.696e-05	6.893e-05
1.6	1.1	0.995	0.995	5.501e-05	5.528e-05
1.7	1.1	1.171	1.171	5.02e-05	4.289e-05
1.8	1.1	1.353	1.353	4.157e-05	3.074e-05
1.9	1.1	1.541	1.541	2.674e-05	1.736e-05
1.1	1.2	0.3665	0.3665	4.444e-05	0.0001213
1.2	1.2	0.5252	0.5251	7.038e-05	0.000134
1.3	1.2	0.6938	0.6937	8.472e-05	0.0001221
1.4	1.2	0.8717	0.8716	9.134e-05	0.0001048
1.5	1.2	1.058	1.058	9.226e-05	8.72e-05
1.6	1.2	1.253	1.252	8.827e-05	7.048e-05
1.7	1.2	1.454	1.454	7.914e-05	5.442e-05
1.8	1.2	1.663	1.663	6.358e-05	3.822e-05
1.9	1.2	1.879	1.879	3.884e-05	2.067e-05
1.1	1.3	0.5115	0.5115	5.253e-05	0.0001027
1.2	1.3	0.6938	0.6937	8.472e-05	0.0001221
1.3	1.3	0.8869	0.8868	0.0001029	0.0001161
1.4	1.3	1.09	1.09	0.0001112	0.0001021
1.5	1.3	1.302	1.302	0.000112	8.603e-05
1.6	1.3	1.523	1.523	0.0001063	6.979e-05
1.7	1.3	1.753	1.753	9.4e-05	5.364e-05
1.8	1.3	1.989	1.989	7.392e-05	3.716e-05
1.9	1.3	2.233	2.233	4.376e-05	1.959e-05
1.1	1.4	0.665	0.6649	5.628e-05	8.464e-05
1.2	1.4	0.8717	0.8716	9.134e-05	0.0001048
1.3	1.4	1.09	1.09	0.0001112	0.0001021
1.4	1.4	1.319	1.319	0.0001201	9.107e-05
1.5	1.4	1.558	1.558	0.0001205	7.732e-05
1.6	1.4	1.807	1.807	0.0001135	6.283e-05
1.7	1.4	2.064	2.064	9.928e-05	4.811e-05
1.8	1.4	2.329	2.329	7.692e-05	3.303e-05
1.9	1.4	2.602	2.602	4.466e-05	1.716e-05
1.1	1.5	0.8263	0.8263	5.696e-05	6.893e-05
1.2	1.5	1.058	1.058	9.226e-05	8.72e-05
1.3	1.5	1.302	1.302	0.000112	8.603e-05
1.4	1.5	1.558	1.558	0.0001205	7.732e-05
1.5	1.5	1.825	1.825	0.0001202	6.587e-05
1.6	1.5	2.101	2.101	0.0001125	5.354e-05
1.7	1.5	2.387	2.387	9.76e-05	4.089e-05
1.8	1.5	2.682	2.682	7.488e-05	2.792e-05
1.9	1.5	2.985	2.985	4.297e-05	1.44e-05
1.1	1.6	0.995	0.995	5.501e-05	5.528e-05
1.2	1.6	1.253	1.252	8.827e-05	7.048e-05
1.3	1.6	1.523	1.523	0.0001063	6.979e-05
1.4	1.6	1.807	1.807	0.0001135	6.283e-05
1.5	1.6	2.101	2.101	0.0001125	5.354e-05
1.6	1.6	2.407	2.406	0.0001046	4.348e-05
1.7	1.6	2.722	2.722	9.024e-05	3.315e-05
1.8	1.6	3.047	3.046	6.884e-05	2.26e-05
1.9	1.6	3.38	3.38	3.929e-05	1.163e-05
1.1	1.7	1.171	1.171	5.02e-05	4.289e-05
1.2	1.7	1.454	1.454	7.914e-05	5.442e-05
1.3	1.7	1.753	1.753	9.4e-05	5.364e-05
1.4	1.7	2.064	2.064	9.928e-05	4.811e-05
1.5	1.7	2.387	2.387	9.76e-05	4.089e-05
1.6	1.7	2.722	2.722	9.024e-05	3.315e-05
1.7	1.7	3.067	3.067	7.753e-05	2.528e-05
1.8	1.7	3.422	3.422	5.904e-05	1.725e-05
1.9	1.7	3.787	3.787	3.373e-05	8.906e-06
1.1	1.8	1.353	1.353	4.157e-05	3.074e-05
1.2	1.8	1.663	1.663	6.358e-05	3.822e-05
1.3	1.8	1.989	1.989	7.392e-05	3.716e-05
1.4	1.8	2.329	2.329	7.692e-05	3.303e-05
1.5	1.8	2.682	2.682	7.488e-05	2.792e-05
1.6	1.8	3.047	3.046	6.884e-05	2.26e-05
1.7	1.8	3.422	3.422	5.904e-05	1.725e-05
1.8	1.8	3.809	3.809	4.509e-05	1.184e-05
1.9	1.8	4.205	4.205	2.598e-05	6.178e-06
1.1	1.9	1.541	1.541	2.674e-05	1.736e-05
1.2	1.9	1.879	1.879	3.884e-05	2.067e-05
1.3	1.9	2.233	2.233	4.376e-05	1.959e-05
1.4	1.9	2.602	2.602	4.466e-05	1.716e-05
1.5	1.9	2.985	2.985	4.297e-05	1.44e-05
1.6	1.9	3.38	3.38	3.929e-05	1.163e-05
1.7	1.9	3.787	3.787	3.373e-05	8.906e-06
1.8	1.9	4.205	4.205	2.598e-05	6.178e-06
1.9	1.9	4.634	4.634	1.53e-05	3.302e-06
