x	y	V_num	V_ana	error_abs	error_rel
0.2	0.2	1.042	1.041	0.000771	0.0007408
0.4	0.2	1.085	1.083	0.001542	0.001423
0.6	0.2	1.13	1.127	0.002312	0.00205
0.8	0.2	1.177	1.174	0.003069	0.002615
1	0.2	1.225	1.221	0.003776	0.003092
1.2	0.2	1.276	1.271	0.00435	0.003422
1.4	0.2	1.328	1.323	0.00463	0.003499
1.6	0.2	1.381	1.377	0.004345	0.003155
1.8	0.2	1.436	1.433	0.003051	0.002128
0.2	0.4	1.085	1.083	0.001542	0.001423
0.4	0.4	1.177	1.174	0.003081	0.002625
0.6	0.4	1.276	1.271	0.004616	0.003631
0.8	0.4	1.383	1.377	0.006123	0.004446
1	0.4	1.499	1.492	0.007523	0.005043
1.2	0.4	1.625	1.616	0.00864	0.005347
1.4	0.4	1.76	1.751	0.009146	0.005224
1.6	0.4	1.905	1.896	0.008492	0.004478
1.8	0.4	2.06	2.054	0.005842	0.002844
0.2	0.6	1.13	1.127	0.002312	0.00205
0.4	0.6	1.276	1.271	0.004616	0.003631
0.6	0.6	1.44	1.433	0.006922	0.004829
0.8	0.6	1.625	1.616	0.009203	0.005695
1	0.6	1.833	1.822	0.01135	0.006228
1.2	0.6	2.068	2.054	0.01309	0.006371
1.4	0.6	2.33	2.316	0.01392	0.006008
1.6	0.6	2.625	2.612	0.01297	0.004965
1.8	0.6	2.954	2.945	0.00893	0.003033
0.2	0.8	1.177	1.174	0.003069	0.002615
0.4	0.8	1.383	1.377	0.006123	0.004446
0.6	0.8	1.625	1.616	0.009203	0.005695
0.8	0.8	1.909	1.896	0.0123	0.006488
1	0.8	2.241	2.226	0.0153	0.006875
1.2	0.8	2.63	2.612	0.01785	0.006834
1.4	0.8	3.084	3.065	0.01923	0.006276
1.6	0.8	3.615	3.597	0.01819	0.005058
1.8	0.8	4.233	4.221	0.01272	0.003014
0.2	1	1.225	1.221	0.003776	0.003092
0.4	1	1.499	1.492	0.007523	0.005043
0.6	1	1.833	1.822	0.01135	0.006228
0.8	1	2.241	2.226	0.0153	0.006875
1	1	2.738	2.718	0.01929	0.007095
1.2	1	3.343	3.32	0.02291	0.006899
1.4	1	4.08	4.055	0.02524	0.006224
1.6	1	4.978	4.953	0.02449	0.004944
1.8	1	6.067	6.05	0.01761	0.00291
0.2	1.2	1.276	1.271	0.00435	0.003422
0.4	1.2	1.625	1.616	0.00864	0.005347
0.6	1.2	2.068	2.054	0.01309	0.006371
0.8	1.2	2.63	2.612	0.01785	0.006834
1	1.2	3.343	3.32	0.02291	0.006899
1.2	1.2	4.249	4.221	0.02789	0.006608
1.4	1.2	5.397	5.366	0.0317	0.005908
1.6	1.2	6.853	6.821	0.03191	0.004679
1.8	1.2	8.695	8.671	0.0239	0.002757
0.2	1.4	1.328	1.323	0.00463	0.003499
0.4	1.4	1.76	1.751	0.009146	0.005224
0.6	1.4	2.33	2.316	0.01392	0.006008
0.8	1.4	3.084	3.065	0.01923	0.006276
1	1.4	4.08	4.055	0.02524	0.006224
1.2	1.4	5.397	5.366	0.0317	0.005908
1.4	1.4	7.137	7.099	0.03752	0.005285
1.6	1.4	9.433	9.393	0.0397	0.004226
1.8	1.4	12.46	12.43	0.0315	0.002534
0.2	1.6	1.381	1.377	0.004345	0.003155
0.4	1.6	1.905	1.896	0.008492	0.004478
0.6	1.6	2.625	2.612	0.01297	0.004965
0.8	1.6	3.615	3.597	0.01819	0.005058
1	1.6	4.978	4.953	0.02449	0.004944
1.2	1.6	6.853	6.821	0.03191	0.004679
1.4	1.6	9.433	9.393	0.0397	0.004226
1.6	1.6	12.98	12.94	0.04479	0.003463
1.8	1.6	17.85	17.81	0.03854	0.002164
0.2	1.8	1.436	1.433	0.003051	0.002128
0.4	1.8	2.06	2.054	0.005842	0.002844
0.6	1.8	2.954	2.945	0.00893	0.003033
0.8	1.8	4.233	4.221	0.01272	0.003014
1	1.8	6.067	6.05	0.01761	0.00291
1.2	1.8	8.695	8.671	0.0239	0.002757
1.4	1.8	12.46	12.43	0.0315	0.002534
1.6	1.8	17.85	17.81	0.03854	0.002164
1.8	1.8	25.57	25.53	0.03722	0.001458
