x	y	V_num	V_ana	error_abs	error_rel
1.02	0.04	0.04114	0.04114	1.639e-06	3.984e-05
1.04	0.04	0.07992	0.07992	2.769e-06	3.465e-05
1.06	0.04	0.118	0.118	3.557e-06	3.015e-05
1.08	0.04	0.1553	0.1553	4.104e-06	2.643e-05
1.1	0.04	0.1919	0.1919	4.479e-06	2.333e-05
1.12	0.04	0.2279	0.2279	4.727e-06	2.074e-05
1.14	0.04	0.2633	0.2633	4.88e-06	1.853e-05
1.16	0.04	0.298	0.298	4.961e-06	1.665e-05
1.18	0.04	0.3322	0.3322	4.988e-06	1.502e-05
1.2	0.04	0.3657	0.3658	4.973e-06	1.36e-05
1.22	0.04	0.3988	0.3988	4.927e-06	1.235e-05
1.24	0.04	0.4313	0.4313	4.856e-06	1.126e-05
1.26	0.04	0.4632	0.4632	4.766e-06	1.029e-05
1.28	0.04	0.4947	0.4947	4.663e-06	9.426e-06
1.3	0.04	0.5257	0.5257	4.55e-06	8.655e-06
1.32	0.04	0.5562	0.5562	4.429e-06	7.963e-06
1.34	0.04	0.5862	0.5862	4.303e-06	7.34e-06
1.36	0.04	0.6158	0.6158	4.174e-06	6.778e-06
1.38	0.04	0.645	0.645	4.043e-06	6.268e-06
1.4	0.04	0.6738	0.6738	3.912e-06	5.805e-06
1.42	0.04	0.7021	0.7021	3.78e-06	5.384e-06
1.44	0.04	0.7301	0.7301	3.649e-06	4.999e-06
1.46	0.04	0.7576	0.7576	3.52e-06	4.646e-06
1.48	0.04	0.7848	0.7848	3.392e-06	4.322e-06
1.5	0.04	0.8116	0.8116	3.266e-06	4.024e-06
1.52	0.04	0.8381	0.8381	3.142e-06	3.749e-06
1.54	0.04	0.8642	0.8642	3.02e-06	3.494e-06
1.56	0.04	0.89	0.89	2.9e-06	3.258e-06
1.58	0.04	0.9155	0.9155	2.781e-06	3.038e-06
1.6	0.04	0.9406	0.9406	2.665e-06	2.833e-06
1.62	0.04	0.9655	0.9655	2.551e-06	2.642e-06
1.64	0.04	0.99	0.99	2.437e-06	2.462e-06
1.66	0.04	1.014	1.014	2.326e-06	2.293e-06
1.68	0.04	1.038	1.038	2.215e-06	2.133e-06
1.7	0.04	1.062	1.062	2.104e-06	1.982e-06
1.72	0.04	1.085	1.085	1.994e-06	1.838e-06
1.74	0.04	1.108	1.108	1.884e-06	1.7e-06
1.76	0.04	1.131	1.131	1.773e-06	1.568e-06
1.78	0.04	1.154	1.154	1.661e-06	1.44e-06
1.8	0.04	1.176	1.176	1.547e-06	1.315e-06
1.82	0.04	1.198	1.198	1.431e-06	1.194e-06
1.84	0.04	1.22	1.22	1.311e-06	1.074e-06
1.86	0.04	1.242	1.242	1.186e-06	9.553e-07
1.88	0.04	1.263	1.263	1.056e-06	8.359e-07
1.9	0.04	1.284	1.284	9.179e-07	7.148e-07
1.92	0.04	1.305	1.305	7.704e-07	5.903e-07
1.94	0.04	1.326	1.326	6.103e-07	4.603e-07
1.96	0.04	1.346	1.346	4.333e-07	3.219e-07
1.98	0.04	1.367	1.367	2.332e-07	1.707e-07
1.02	0.08	0.04574	0.04574	2.404e-06	5.255e-05
1.04	0.08	0.08434	0.08434	4.218e-06	5.001e-05
1.06	0.08	0.1222	0.1222	5.576e-06	4.562e-05
1.08	0.08	0.1594	0.1594	6.58e-06	4.128e-05
1.1	0.08	0.1959	0.1959	7.309e-06	3.731e-05
1.12	0.08	0.2317	0.2317	7.826e-06	3.377e-05
1.14	0.08	0.267	0.267	8.176e-06	3.062e-05
1.16	0.08	0.3016	0.3016	8.395e-06	2.784e-05
1.18	0.08	0.3356	0.3356	8.512e-06	2.536e-05
1.2	0.08	0.3691	0.3691	8.549e-06	2.316e-05
1.22	0.08	0.402	0.402	8.522e-06	2.12e-05
1.24	0.08	0.4344	0.4344	8.446e-06	1.944e-05
1.26	0.08	0.4662	0.4662	8.331e-06	1.787e-05
1.28	0.08	0.4976	0.4976	8.187e-06	1.645e-05
1.3	0.08	0.5285	0.5285	8.019e-06	1.517e-05
1.32	0.08	0.5589	0.5589	7.834e-06	1.402e-05
1.34	0.08	0.5889	0.5889	7.636e-06	1.297e-05
1.36	0.08	0.6184	0.6184	7.428e-06	1.201e-05
1.38	0.08	0.6475	0.6475	7.215e-06	1.114e-05
1.4	0.08	0.6762	0.6762	6.997e-06	1.035e-05
1.42	0.08	0.7045	0.7045	6.777e-06	9.619e-06
1.44	0.08	0.7324	0.7324	6.555e-06	8.951e-06
1.46	0.08	0.7599	0.7599	6.334e-06	8.336e-06
1.48	0.08	0.787	0.787	6.115e-06	7.77e-06
1.5	0.08	0.8138	0.8138	5.896e-06	7.246e-06
1.52	0.08	0.8402	0.8402	5.68e-06	6.761e-06
1.54	0.08	0.8663	0.8663	5.466e-06	6.31e-06
1.56	0.08	0.892	0.892	5.255e-06	5.891e-06
1.58	0.08	0.9174	0.9174	5.045e-06	5.5e-06
1.6	0.08	0.9425	0.9425	4.838e-06	5.134e-06
1.62	0.08	0.9673	0.9673	4.634e-06	4.79e-06
1.64	0.08	0.9918	0.9918	4.43e-06	4.467e-06
1.66	0.08	1.016	1.016	4.228e-06	4.162e-06
1.68	0.08	1.04	1.04	4.027e-06	3.873e-06
1.7	0.08	1.063	1.063	3.827e-06	3.598e-06
1.72	0.08	1.087	1.087	3.626e-06	3.336e-06
1.74	0.08	1.11	1.11	3.423e-06	3.085e-06
1.76	0.08	1.133	1.133	3.219e-06	2.842e-06
1.78	0.08	1.155	1.155	3.012e-06	2.608e-06
1.8	0.08	1.178	1.178	2.801e-06	2.379e-06
1.82	0.08	1.2	1.2	2.585e-06	2.155e-06
1.84	0.08	1.221	1.221	2.361e-06	1.933e-06
1.86	0.08	1.243	1.243	2.129e-06	1.713e-06
1.88	0.08	1.264	1.264	1.886e-06	1.492e-06
1.9	0.08	1.285	1.285	1.63e-06	1.268e-06
1.92	0.08	1.306	1.306	1.357e-06	1.039e-06
1.94	0.08	1.327	1.327	1.063e-06	8.011e-07
1.96	0.08	1.348	1.348	7.434e-07	5.517e-07
1.98	0.08	1.368	1.368	3.917e-07	2.864e-07
1.02	0.12	0.05335	0.05335	2.748e-06	5.15e-05
1.04	0.12	0.09166	0.09167	4.92e-06	5.367e-05
1.06	0.12	0.1293	0.1293	6.618e-06	5.119e-05
1.08	0.12	0.1662	0.1662	7.928e-06	4.77e-05
1.1	0.12	0.2024	0.2025	8.922e-06	4.407e-05
1.12	0.12	0.2381	0.2381	9.661e-06	4.058e-05
1.14	0.12	0.2731	0.2731	1.019e-05	3.732e-05
1.16	0.12	0.3075	0.3075	1.056e-05	3.433e-05
1.18	0.12	0.3413	0.3413	1.078e-05	3.159e-05
1.2	0.12	0.3746	0.3746	1.09e-05	2.911e-05
1.22	0.12	0.4073	0.4073	1.093e-05	2.684e-05
1.24	0.12	0.4395	0.4395	1.089e-05	2.479e-05
1.26	0.12	0.4712	0.4713	1.08e-05	2.291e-05
1.28	0.12	0.5025	0.5025	1.066e-05	2.121e-05
1.3	0.12	0.5332	0.5332	1.048e-05	1.965e-05
1.32	0.12	0.5635	0.5635	1.028e-05	1.823e-05
1.34	0.12	0.5933	0.5933	1.005e-05	1.694e-05
1.36	0.12	0.6227	0.6227	9.805e-06	1.575e-05
1.38	0.12	0.6517	0.6517	9.55e-06	1.465e-05
1.4	0.12	0.6803	0.6803	9.285e-06	1.365e-05
1.42	0.12	0.7084	0.7084	9.015e-06	1.272e-05
1.44	0.12	0.7362	0.7362	8.739e-06	1.187e-05
1.46	0.12	0.7636	0.7636	8.462e-06	1.108e-05
1.48	0.12	0.7906	0.7906	8.183e-06	1.035e-05
1.5	0.12	0.8173	0.8173	7.905e-06	9.672e-06
1.52	0.12	0.8436	0.8436	7.627e-06	9.04e-06
1.54	0.12	0.8696	0.8696	7.35e-06	8.452e-06
1.56	0.12	0.8953	0.8953	7.074e-06	7.902e-06
1.58	0.12	0.9206	0.9206	6.8e-06	7.387e-06
1.6	0.12	0.9456	0.9456	6.528e-06	6.903e-06
1.62	0.12	0.9703	0.9703	6.256e-06	6.448e-06
1.64	0.12	0.9947	0.9947	5.986e-06	6.018e-06
1.66	0.12	1.019	1.019	5.716e-06	5.611e-06
1.68	0.12	1.043	1.043	5.446e-06	5.224e-06
1.7	0.12	1.066	1.066	5.176e-06	4.854e-06
1.72	0.12	1.089	1.09	4.904e-06	4.501e-06
1.74	0.12	1.113	1.113	4.629e-06	4.161e-06
1.76	0.12	1.135	1.135	4.351e-06	3.832e-06
1.78	0.12	1.158	1.158	4.068e-06	3.513e-06
1.8	0.12	1.18	1.18	3.778e-06	3.202e-06
1.82	0.12	1.202	1.202	3.481e-06	2.896e-06
1.84	0.12	1.224	1.224	3.173e-06	2.593e-06
1.86	0.12	1.245	1.245	2.854e-06	2.292e-06
1.88	0.12	1.267	1.267	2.52e-06	1.989e-06
1.9	0.12	1.288	1.288	2.168e-06	1.684e-06
1.92	0.12	1.309	1.309	1.795e-06	1.372e-06
