x	y	V_num	V_ana	error_abs	error_rel
1.05	1.05	0.1076	0.1076	2.651e-06	2.464e-05
1.1	1.05	0.1664	0.1664	4.357e-06	2.618e-05
1.15	1.05	0.2277	0.2277	5.531e-06	2.429e-05
1.2	1.05	0.2912	0.2912	6.368e-06	2.187e-05
1.25	1.05	0.3569	0.3569	6.97e-06	1.953e-05
1.3	1.05	0.4247	0.4247	7.399e-06	1.742e-05
1.35	1.05	0.4946	0.4946	7.693e-06	1.555e-05
1.4	1.05	0.5663	0.5663	7.877e-06	1.391e-05
1.45	1.05	0.64	0.64	7.969e-06	1.245e-05
1.5	1.05	0.7155	0.7155	7.975e-06	1.115e-05
1.55	1.05	0.7927	0.7927	7.901e-06	9.968e-06
1.6	1.05	0.8716	0.8716	7.745e-06	8.886e-06
1.65	1.05	0.9521	0.9521	7.501e-06	7.878e-06
1.7	1.05	1.034	1.034	7.156e-06	6.919e-06
1.75	1.05	1.118	1.118	6.69e-06	5.984e-06
1.8	1.05	1.203	1.203	6.07e-06	5.045e-06
1.85	1.05	1.29	1.29	5.242e-06	4.064e-06
1.9	1.05	1.378	1.378	4.112e-06	2.984e-06
1.95	1.05	1.467	1.467	2.499e-06	1.703e-06
1.05	1.1	0.1664	0.1664	4.357e-06	2.618e-05
1.1	1.1	0.2307	0.2307	7.432e-06	3.222e-05
1.15	1.1	0.2974	0.2974	9.645e-06	3.244e-05
1.2	1.1	0.3665	0.3665	1.126e-05	3.071e-05
1.25	1.1	0.4379	0.4379	1.243e-05	2.838e-05
1.3	1.1	0.5115	0.5115	1.326e-05	2.593e-05
1.35	1.1	0.5872	0.5872	1.383e-05	2.356e-05
1.4	1.1	0.665	0.6649	1.419e-05	2.134e-05
1.45	1.1	0.7447	0.7447	1.436e-05	1.928e-05
1.5	1.1	0.8263	0.8263	1.436e-05	1.737e-05
1.55	1.1	0.9097	0.9097	1.419e-05	1.56e-05
1.6	1.1	0.995	0.995	1.387e-05	1.394e-05
1.65	1.1	1.082	1.082	1.337e-05	1.236e-05
1.7	1.1	1.171	1.171	1.268e-05	1.083e-05
1.75	1.1	1.261	1.261	1.175e-05	9.323e-06
1.8	1.1	1.353	1.353	1.054e-05	7.792e-06
1.85	1.1	1.446	1.446	8.946e-06	6.187e-06
1.9	1.1	1.541	1.541	6.835e-06	4.437e-06
1.95	1.1	1.637	1.637	3.979e-06	2.431e-06
1.05	1.15	0.2277	0.2277	5.531e-06	2.429e-05
1.1	1.15	0.2974	0.2974	9.645e-06	3.244e-05
1.15	1.15	0.3697	0.3697	1.271e-05	3.437e-05
1.2	1.15	0.4445	0.4445	1.498e-05	3.37e-05
1.25	1.15	0.5217	0.5217	1.665e-05	3.192e-05
1.3	1.15	0.6012	0.6012	1.785e-05	2.969e-05
1.35	1.15	0.6829	0.6829	1.867e-05	2.734e-05
1.4	1.15	0.7668	0.7667	1.917e-05	2.501e-05
1.45	1.15	0.8527	0.8526	1.94e-05	2.275e-05
1.5	1.15	0.9405	0.9405	1.938e-05	2.061e-05
1.55	1.15	1.03	1.03	1.913e-05	1.856e-05
1.6	1.15	1.122	1.122	1.864e-05	1.661e-05
1.65	1.15	1.215	1.215	1.789e-05	1.472e-05
1.7	1.15	1.311	1.311	1.687e-05	1.287e-05
1.75	1.15	1.408	1.407	1.552e-05	1.103e-05
1.8	1.15	1.506	1.506	1.378e-05	9.149e-06
1.85	1.15	1.606	1.606	1.154e-05	7.183e-06
1.9	1.15	1.708	1.708	8.649e-06	5.064e-06
1.95	1.15	1.811	1.811	4.902e-06	2.707e-06
1.05	1.2	0.2912	0.2912	6.368e-06	2.187e-05
1.1	1.2	0.3665	0.3665	1.126e-05	3.071e-05
1.15	1.2	0.4445	0.4445	1.498e-05	3.37e-05
1.2	1.2	0.5251	0.5251	1.779e-05	3.388e-05
1.25	1.2	0.6082	0.6082	1.988e-05	3.268e-05
1.3	1.2	0.6937	0.6937	2.138e-05	3.082e-05
1.35	1.2	0.7816	0.7815	2.241e-05	2.867e-05
1.4	1.2	0.8716	0.8716	2.303e-05	2.643e-05
1.45	1.2	0.9638	0.9638	2.331e-05	2.418e-05
1.5	1.2	1.058	1.058	2.326e-05	2.199e-05
1.55	1.2	1.154	1.154	2.291e-05	1.985e-05
1.6	1.2	1.252	1.252	2.226e-05	1.778e-05
1.65	1.2	1.353	1.353	2.13e-05	1.575e-05
1.7	1.2	1.454	1.454	1.998e-05	1.374e-05
1.75	1.2	1.558	1.558	1.827e-05	1.172e-05
1.8	1.2	1.663	1.663	1.608e-05	9.666e-06
1.85	1.2	1.77	1.77	1.332e-05	7.522e-06
1.9	1.2	1.879	1.879	9.845e-06	5.239e-06
1.95	1.2	1.989	1.989	5.48e-06	2.755e-06
1.05	1.25	0.3569	0.3569	6.97e-06	1.953e-05
1.1	1.25	0.4379	0.4379	1.243e-05	2.838e-05
1.15	1.25	0.5217	0.5217	1.665e-05	3.192e-05
1.2	1.25	0.6082	0.6082	1.988e-05	3.268e-05
1.25	1.25	0.6973	0.6973	2.229e-05	3.197e-05
1.3	1.25	0.789	0.789	2.404e-05	3.047e-05
1.35	1.25	0.883	0.883	2.523e-05	2.857e-05
1.4	1.25	0.9794	0.9793	2.595e-05	2.649e-05
1.45	1.25	1.078	1.078	2.625e-05	2.435e-05
1.5	1.25	1.179	1.179	2.617e-05	2.22e-05
1.55	1.25	1.281	1.281	2.573e-05	2.008e-05
1.6	1.25	1.386	1.386	2.494e-05	1.799e-05
1.65	1.25	1.493	1.493	2.377e-05	1.592e-05
1.7	1.25	1.602	1.602	2.221e-05	1.386e-05
1.75	1.25	1.712	1.712	2.019e-05	1.179e-05
1.8	1.25	1.825	1.825	1.765e-05	9.674e-06
1.85	1.25	1.939	1.939	1.45e-05	7.478e-06
1.9	1.25	2.054	2.054	1.061e-05	5.162e-06
1.95	1.25	2.172	2.172	5.83e-06	2.684e-06
1.05	1.3	0.4247	0.4247	7.399e-06	1.742e-05
1.1	1.3	0.5115	0.5115	1.326e-05	2.593e-05
1.15	1.3	0.6012	0.6012	1.785e-05	2.969e-05
1.2	1.3	0.6937	0.6937	2.138e-05	3.082e-05
1.25	1.3	0.789	0.789	2.404e-05	3.047e-05
