x	y	V_num	V_ana	error_abs	error_rel
1.01	1.01	0.0203	0.0203	7.532e-09	3.71e-07
1.02	1.01	0.03065	0.03065	1.343e-08	4.382e-07
1.03	1.01	0.0411	0.0411	1.835e-08	4.466e-07
1.04	1.01	0.05165	0.05165	2.261e-08	4.378e-07
1.05	1.01	0.06229	0.06229	2.638e-08	4.234e-07
1.06	1.01	0.07304	0.07304	2.975e-08	4.074e-07
1.07	1.01	0.08387	0.08387	3.281e-08	3.912e-07
1.08	1.01	0.0948	0.0948	3.559e-08	3.755e-07
1.09	1.01	0.1058	0.1058	3.815e-08	3.605e-07
1.1	1.01	0.1169	0.1169	4.05e-08	3.463e-07
1.11	1.01	0.1282	0.1282	4.268e-08	3.33e-07
1.12	1.01	0.1395	0.1395	4.47e-08	3.205e-07
1.13	1.01	0.1508	0.1508	4.657e-08	3.087e-07
1.14	1.01	0.1623	0.1623	4.831e-08	2.976e-07
1.15	1.01	0.1739	0.1739	4.994e-08	2.872e-07
1.16	1.01	0.1855	0.1855	5.146e-08	2.773e-07
1.17	1.01	0.1973	0.1973	5.288e-08	2.68e-07
1.18	1.01	0.2091	0.2091	5.421e-08	2.592e-07
1.19	1.01	0.221	0.221	5.545e-08	2.509e-07
1.2	1.01	0.233	0.233	5.661e-08	2.429e-07
1.21	1.01	0.2451	0.2451	5.77e-08	2.354e-07
1.22	1.01	0.2573	0.2573	5.872e-08	2.282e-07
1.23	1.01	0.2695	0.2695	5.968e-08	2.214e-07
1.24	1.01	0.2819	0.2819	6.057e-08	2.149e-07
1.25	1.01	0.2943	0.2943	6.141e-08	2.087e-07
1.26	1.01	0.3068	0.3068	6.219e-08	2.027e-07
1.27	1.01	0.3194	0.3194	6.292e-08	1.97e-07
1.28	1.01	0.332	0.332	6.36e-08	1.916e-07
1.29	1.01	0.3447	0.3447	6.424e-08	1.863e-07
1.3	1.01	0.3575	0.3575	6.483e-08	1.813e-07
1.31	1.01	0.3704	0.3704	6.538e-08	1.765e-07
1.32	1.01	0.3834	0.3834	6.589e-08	1.719e-07
1.33	1.01	0.3964	0.3964	6.637e-08	1.674e-07
1.34	1.01	0.4096	0.4096	6.68e-08	1.631e-07
1.35	1.01	0.4228	0.4228	6.72e-08	1.59e-07
