x	y	V_num	V_ana	error_abs	error_rel
0.02	0.02	1	1	8.193e-08	8.189e-08
0.04	0.02	1.001	1.001	1.639e-07	1.637e-07
0.06	0.02	1.001	1.001	2.458e-07	2.455e-07
0.08	0.02	1.002	1.002	3.277e-07	3.272e-07
0.1	0.02	1.002	1.002	4.096e-07	4.088e-07
0.12	0.02	1.002	1.002	4.916e-07	4.904e-07
0.14	0.02	1.003	1.003	5.735e-07	5.719e-07
0.16	0.02	1.003	1.003	6.554e-07	6.533e-07
0.18	0.02	1.004	1.004	7.374e-07	7.347e-07
0.2	0.02	1.004	1.004	8.193e-07	8.161e-07
0.22	0.02	1.004	1.004	9.013e-07	8.973e-07
0.24	0.02	1.005	1.005	9.833e-07	9.785e-07
0.26	0.02	1.005	1.005	1.065e-06	1.06e-06
0.28	0.02	1.006	1.006	1.147e-06	1.141e-06
0.3	0.02	1.006	1.006	1.229e-06	1.222e-06
0.32	0.02	1.006	1.006	1.311e-06	1.303e-06
0.34	0.02	1.007	1.007	1.393e-06	1.384e-06
0.36	0.02	1.007	1.007	1.475e-06	1.465e-06
0.38	0.02	1.008	1.008	1.557e-06	1.546e-06
0.4	0.02	1.008	1.008	1.64e-06	1.626e-06
0.42	0.02	1.008	1.008	1.722e-06	1.707e-06
0.44	0.02	1.009	1.009	1.804e-06	1.788e-06
0.46	0.02	1.009	1.009	1.886e-06	1.869e-06
0.48	0.02	1.01	1.01	1.968e-06	1.949e-06
0.5	0.02	1.01	1.01	2.05e-06	2.03e-06
0.52	0.02	1.01	1.01	2.132e-06	2.11e-06
0.54	0.02	1.011	1.011	2.214e-06	2.19e-06
0.56	0.02	1.011	1.011	2.296e-06	2.271e-06
0.58	0.02	1.012	1.012	2.378e-06	2.351e-06
0.6	0.02	1.012	1.012	2.46e-06	2.431e-06
0.62	0.02	1.012	1.012	2.542e-06	2.511e-06
0.64	0.02	1.013	1.013	2.624e-06	2.59e-06
0.66	0.02	1.013	1.013	2.705e-06	2.67e-06
0.68	0.02	1.014	1.014	2.787e-06	2.749e-06
0.7	0.02	1.014	1.014	2.868e-06	2.828e-06
0.72	0.02	1.015	1.015	2.949e-06	2.907e-06
0.74	0.02	1.015	1.015	3.03e-06	2.985e-06
0.76	0.02	1.015	1.015	3.11e-06	3.063e-06
0.78	0.02	1.016	1.016	3.191e-06	3.141e-06
0.8	0.02	1.016	1.016	3.27e-06	3.218e-06
0.82	0.02	1.017	1.017	3.35e-06	3.295e-06
0.84	0.02	1.017	1.017	3.429e-06	3.371e-06
0.86	0.02	1.017	1.017	3.507e-06	3.447e-06
0.88	0.02	1.018	1.018	3.585e-06	3.522e-06
0.9	0.02	1.018	1.018	3.662e-06	3.596e-06
0.92	0.02	1.019	1.019	3.738e-06	3.67e-06
0.94	0.02	1.019	1.019	3.813e-06	3.742e-06
0.96	0.02	1.019	1.019	3.888e-06	3.814e-06
0.98	0.02	1.02	1.02	3.961e-06	3.884e-06
1	0.02	1.02	1.02	4.033e-06	3.954e-06
1.02	0.02	1.021	1.021	4.105e-06	4.022e-06
1.04	0.02	1.021	1.021	4.174e-06	4.088e-06
1.06	0.02	1.021	1.021	4.242e-06	4.153e-06
1.08	0.02	1.022	1.022	4.309e-06	4.217e-06
1.1	0.02	1.022	1.022	4.374e-06	4.279e-06
1.12	0.02	1.023	1.023	4.437e-06	4.339e-06
1.14	0.02	1.023	1.023	4.498e-06	4.397e-06
1.16	0.02	1.023	1.023	4.557e-06	4.452e-06
1.18	0.02	1.024	1.024	4.613e-06	4.505e-06
1.2	0.02	1.024	1.024	4.667e-06	4.556e-06
1.22	0.02	1.025	1.025	4.718e-06	4.604e-06
1.24	0.02	1.025	1.025	4.766e-06	4.649e-06
1.26	0.02	1.026	1.026	4.811e-06	4.691e-06
1.28	0.02	1.026	1.026	4.852e-06	4.729e-06
1.3	0.02	1.026	1.026	4.89e-06	4.764e-06
1.32	0.02	1.027	1.027	4.924e-06	4.795e-06
1.34	0.02	1.027	1.027	4.953e-06	4.822e-06
1.36	0.02	1.028	1.028	4.979e-06	4.845e-06
1.38	0.02	1.028	1.028	4.999e-06	4.863e-06
1.4	0.02	1.028	1.028	5.015e-06	4.876e-06
1.42	0.02	1.029	1.029	5.025e-06	4.884e-06
1.44	0.02	1.029	1.029	5.029e-06	4.886e-06
1.46	0.02	1.03	1.03	5.027e-06	4.883e-06
1.48	0.02	1.03	1.03	5.019e-06	4.873e-06
1.5	0.02	1.03	1.03	5.004e-06	4.856e-06
1.52	0.02	1.031	1.031	4.982e-06	4.832e-06
1.54	0.02	1.031	1.031	4.951e-06	4.801e-06
1.56	0.02	1.032	1.032	4.913e-06	4.762e-06
1.58	0.02	1.032	1.032	4.866e-06	4.715e-06
1.6	0.02	1.033	1.033	4.81e-06	4.658e-06
1.62	0.02	1.033	1.033	4.744e-06	4.592e-06
1.64	0.02	1.033	1.033	4.667e-06	4.517e-06
1.66	0.02	1.034	1.034	4.58e-06	4.43e-06
1.68	0.02	1.034	1.034	4.48e-06	4.332e-06
1.7	0.02	1.035	1.035	4.368e-06	4.222e-06
1.72	0.02	1.035	1.035	4.243e-06	4.099e-06
1.74	0.02	1.035	1.035	4.103e-06	3.963e-06
1.76	0.02	1.036	1.036	3.948e-06	3.811e-06
1.78	0.02	1.036	1.036	3.776e-06	3.644e-06
1.8	0.02	1.037	1.037	3.586e-06	3.46e-06
1.82	0.02	1.037	1.037	3.377e-06	3.257e-06
1.84	0.02	1.037	1.037	3.147e-06	3.033e-06
1.86	0.02	1.038	1.038	2.893e-06	2.788e-06
1.88	0.02	1.038	1.038	2.614e-06	2.517e-06
1.9	0.02	1.039	1.039	2.304e-06	2.218e-06
1.92	0.02	1.039	1.039	1.96e-06	1.886e-06
1.94	0.02	1.04	1.04	1.575e-06	1.515e-06
1.96	0.02	1.04	1.04	1.137e-06	1.093e-06
1.98	0.02	1.04	1.04	6.259e-07	6.016e-07
0.02	0.04	1.001	1.001	1.639e-07	1.637e-07
0.04	0.04	1.002	1.002	3.277e-07	3.272e-07
0.06	0.04	1.002	1.002	4.916e-07	4.904e-07
0.08	0.04	1.003	1.003	6.554e-07	6.533e-07
0.1	0.04	1.004	1.004	8.193e-07	8.16e-07
0.12	0.04	1.005	1.005	9.831e-07	9.784e-07
0.14	0.04	1.006	1.006	1.147e-06	1.141e-06
0.16	0.04	1.006	1.006	1.311e-06	1.302e-06
0.18	0.04	1.007	1.007	1.475e-06	1.464e-06
0.2	0.04	1.008	1.008	1.639e-06	1.626e-06
0.22	0.04	1.009	1.009	1.803e-06	1.787e-06
0.24	0.04	1.01	1.01	1.966e-06	1.948e-06
0.26	0.04	1.01	1.01	2.13e-06	2.108e-06
0.28	0.04	1.011	1.011	2.294e-06	2.269e-06
0.3	0.04	1.012	1.012	2.458e-06	2.429e-06
0.32	0.04	1.013	1.013	2.622e-06	2.589e-06
0.34	0.04	1.014	1.014	2.786e-06	2.749e-06
0.36	0.04	1.015	1.015	2.95e-06	2.908e-06
0.38	0.04	1.015	1.015	3.115e-06	3.068e-06
0.4	0.04	1.016	1.016	3.279e-06	3.227e-06
0.42	0.04	1.017	1.017	3.443e-06	3.385e-06
0.44	0.04	1.018	1.018	3.607e-06	3.544e-06
0.46	0.04	1.019	1.019	3.771e-06	3.702e-06
0.48	0.04	1.019	1.019	3.935e-06	3.86e-06
0.5	0.04	1.02	1.02	4.099e-06	4.018e-06
0.52	0.04	1.021	1.021	4.263e-06	4.176e-06
0.54	0.04	1.022	1.022	4.427e-06	4.333e-06
0.56	0.04	1.023	1.023	4.591e-06	4.49e-06
0.58	0.04	1.023	1.023	4.755e-06	4.646e-06
0.6	0.04	1.024	1.024	4.919e-06	4.802e-06
0.62	0.04	1.025	1.025	5.082e-06	4.958e-06
0.64	0.04	1.026	1.026	5.245e-06	5.113e-06
0.66	0.04	1.027	1.027	5.408e-06	5.267e-06
0.68	0.04	1.028	1.028	5.571e-06	5.421e-06
0.7	0.04	1.028	1.028	5.733e-06	5.575e-06
0.72	0.04	1.029	1.029	5.895e-06	5.727e-06
0.74	0.04	1.03	1.03	6.056e-06	5.879e-06
0.76	0.04	1.031	1.031	6.217e-06	6.03e-06
0.78	0.04	1.032	1.032	6.376e-06	6.181e-06
0.8	0.04	1.033	1.033	6.536e-06	6.33e-06
0.82	0.04	1.033	1.033	6.694e-06	6.478e-06
