x	y	V_num	V_ana	error_abs	error_rel
0.1	0.1	1.01	1.01	5.045e-05	4.995e-05
0.2	0.1	1.02	1.02	0.0001009	9.891e-05
0.3	0.1	1.031	1.03	0.0001514	0.0001469
0.4	0.1	1.041	1.041	0.0002019	0.0001939
0.5	0.1	1.052	1.051	0.0002523	0.00024
0.6	0.1	1.062	1.062	0.0003027	0.0002851
0.7	0.1	1.073	1.073	0.0003527	0.0003289
0.8	0.1	1.084	1.083	0.0004019	0.000371
0.9	0.1	1.095	1.094	0.0004496	0.0004109
1	0.1	1.106	1.105	0.0004948	0.0004477
1.1	0.1	1.117	1.116	0.0005358	0.00048
1.2	0.1	1.128	1.127	0.0005705	0.000506
1.3	0.1	1.139	1.139	0.0005963	0.0005236
1.4	0.1	1.151	1.15	0.0006093	0.0005297
1.5	0.1	1.162	1.162	0.0006049	0.0005207
1.6	0.1	1.174	1.174	0.000577	0.0004917
1.7	0.1	1.186	1.185	0.0005176	0.0004367
1.8	0.1	1.198	1.197	0.0004155	0.000347
1.9	0.1	1.21	1.209	0.0002534	0.0002096
0.1	0.2	1.02	1.02	0.0001009	9.891e-05
0.2	0.2	1.041	1.041	0.0002018	0.0001939
0.3	0.2	1.062	1.062	0.0003027	0.000285
0.4	0.2	1.084	1.083	0.0004035	0.0003725
0.5	0.2	1.106	1.105	0.0005043	0.0004563
0.6	0.2	1.128	1.127	0.0006046	0.0005363
0.7	0.2	1.151	1.15	0.0007041	0.0006121
0.8	0.2	1.174	1.174	0.0008017	0.0006832
0.9	0.2	1.198	1.197	0.0008959	0.0007483
1	0.2	1.222	1.221	0.0009844	0.000806
1.1	0.2	1.247	1.246	0.001064	0.000854
1.2	0.2	1.272	1.271	0.001131	0.0008894
1.3	0.2	1.298	1.297	0.001178	0.0009084
1.4	0.2	1.324	1.323	0.001199	0.0009063
1.5	0.2	1.351	1.35	0.001184	0.0008773
1.6	0.2	1.378	1.377	0.001121	0.0008143
1.7	0.2	1.406	1.405	0.0009954	0.0007085
1.8	0.2	1.434	1.433	0.0007861	0.0005484
1.9	0.2	1.463	1.462	0.0004668	0.0003192
0.1	0.3	1.031	1.03	0.0001514	0.0001469
0.2	0.3	1.062	1.062	0.0003027	0.000285
0.3	0.3	1.095	1.094	0.0004539	0.0004148
0.4	0.3	1.128	1.127	0.000605	0.0005366
0.5	0.3	1.163	1.162	0.0007559	0.0006506
0.6	0.3	1.198	1.197	0.0009062	0.0007569
0.7	0.3	1.235	1.234	0.001055	0.0008552
0.8	0.3	1.272	1.271	0.001201	0.0009446
0.9	0.3	1.311	1.31	0.001341	0.001024
1	0.3	1.351	1.35	0.001473	0.001091
1.1	0.3	1.393	1.391	0.00159	0.001143
1.2	0.3	1.435	1.433	0.001688	0.001177
1.3	0.3	1.479	1.477	0.001755	0.001189
1.4	0.3	1.524	1.522	0.001783	0.001171
1.5	0.3	1.57	1.568	0.001755	0.001119
1.6	0.3	1.618	1.616	0.001654	0.001023
1.7	0.3	1.667	1.665	0.001458	0.0008758
1.8	0.3	1.717	1.716	0.001141	0.000665
1.9	0.3	1.769	1.768	0.0006685	0.0003781
0.1	0.4	1.041	1.041	0.0002019	0.0001939
0.2	0.4	1.084	1.083	0.0004035	0.0003725
0.3	0.4	1.128	1.127	0.000605	0.0005366
0.4	0.4	1.174	1.174	0.0008064	0.0006872
0.5	0.4	1.222	1.221	0.001008	0.0008249
0.6	0.4	1.272	1.271	0.001208	0.0009502
0.7	0.4	1.325	1.323	0.001406	0.001063
0.8	0.4	1.379	1.377	0.001601	0.001162
0.9	0.4	1.435	1.433	0.001788	0.001248
1	0.4	1.494	1.492	0.001964	0.001316
1.1	0.4	1.555	1.553	0.00212	0.001366
1.2	0.4	1.618	1.616	0.002249	0.001392
1.3	0.4	1.684	1.682	0.002338	0.00139
1.4	0.4	1.753	1.751	0.002372	0.001355
1.5	0.4	1.824	1.822	0.002331	0.001279
1.6	0.4	1.899	1.896	0.002193	0.001156
1.7	0.4	1.976	1.974	0.001927	0.0009763
1.8	0.4	2.056	2.054	0.001501	0.0007306
1.9	0.4	2.139	2.138	0.0008739	0.0004087
0.1	0.5	1.052	1.051	0.0002523	0.00024
0.2	0.5	1.106	1.105	0.0005043	0.0004563
0.3	0.5	1.163	1.162	0.0007559	0.0006506
0.4	0.5	1.222	1.221	0.001008	0.0008249
0.5	0.5	1.285	1.284	0.001259	0.0009806
0.6	0.5	1.351	1.35	0.00151	0.001119
0.7	0.5	1.421	1.419	0.001759	0.001239
0.8	0.5	1.494	1.492	0.002003	0.001343
0.9	0.5	1.571	1.568	0.002239	0.001428
1	0.5	1.651	1.649	0.00246	0.001492
1.1	0.5	1.736	1.733	0.002659	0.001534
1.2	0.5	1.825	1.822	0.002822	0.001549
1.3	0.5	1.918	1.916	0.002936	0.001533
1.4	0.5	2.017	2.014	0.00298	0.00148
1.5	0.5	2.12	2.117	0.002929	0.001384
1.6	0.5	2.228	2.226	0.002754	0.001237
1.7	0.5	2.342	2.34	0.002419	0.001034
1.8	0.5	2.461	2.46	0.001881	0.0007649
1.9	0.5	2.587	2.586	0.001093	0.0004228
0.1	0.6	1.062	1.062	0.0003027	0.0002851
0.2	0.6	1.128	1.127	0.0006046	0.0005363
0.3	0.6	1.198	1.197	0.0009062	0.0007569
0.4	0.6	1.272	1.271	0.001208	0.0009502
0.5	0.6	1.351	1.35	0.00151	0.001119
0.6	0.6	1.435	1.433	0.001812	0.001264
0.7	0.6	1.524	1.522	0.002112	0.001388
0.8	0.6	1.618	1.616	0.002408	0.00149
0.9	0.6	1.719	1.716	0.002695	0.00157
1	0.6	1.825	1.822	0.002966	0.001628
1.1	0.6	1.938	1.935	0.00321	0.001659
1.2	0.6	2.058	2.054	0.003413	0.001661
1.3	0.6	2.185	2.181	0.003557	0.00163
1.4	0.6	2.32	2.316	0.003616	0.001561
1.5	0.6	2.463	2.46	0.00356	0.001448
1.6	0.6	2.615	2.612	0.003353	0.001284
1.7	0.6	2.776	2.773	0.002949	0.001063
1.8	0.6	2.947	2.945	0.002296	0.0007796
1.9	0.6	3.128	3.127	0.001335	0.000427
0.1	0.7	1.073	1.073	0.0003527	0.0003289
0.2	0.7	1.151	1.15	0.0007041	0.0006121
0.3	0.7	1.235	1.234	0.001055	0.0008552
0.4	0.7	1.325	1.323	0.001406	0.001063
0.5	0.7	1.421	1.419	0.001759	0.001239
0.6	0.7	1.524	1.522	0.002112	0.001388
0.7	0.7	1.635	1.632	0.002465	0.00151
0.8	0.7	1.753	1.751	0.002815	0.001608
0.9	0.7	1.881	1.878	0.003156	0.001681
1	0.7	2.017	2.014	0.00348	0.001728
1.1	0.7	2.164	2.16	0.003776	0.001748
1.2	0.7	2.32	2.316	0.004026	0.001738
1.3	0.7	2.489	2.484	0.004207	0.001693
1.4	0.7	2.669	2.664	0.00429	0.00161
1.5	0.7	2.862	2.858	0.004237	0.001483
1.6	0.7	3.069	3.065	0.004003	0.001306
1.7	0.7	3.291	3.287	0.003531	0.001074
1.8	0.7	3.528	3.525	0.002757	0.000782
1.9	0.7	3.783	3.781	0.001608	0.0004252
0.1	0.8	1.084	1.083	0.0004019	0.000371
0.2	0.8	1.174	1.174	0.0008017	0.0006832
0.3	0.8	1.272	1.271	0.001201	0.0009446
0.4	0.8	1.379	1.377	0.001601	0.001162
0.5	0.8	1.494	1.492	0.002003	0.001343
0.6	0.8	1.618	1.616	0.002408	0.00149
0.7	0.8	1.753	1.751	0.002815	0.001608
0.8	0.8	1.9	1.896	0.00322	0.001698
0.9	0.8	2.058	2.054	0.003619	0.001762
1	0.8	2.23	2.226	0.004003	0.001799
1.1	0.8	2.415	2.411	0.004357	0.001807
1.2	0.8	2.616	2.612	0.004663	0.001785
1.3	0.8	2.834	2.829	0.004892	0.001729
1.4	0.8	3.07	3.065	0.00501	0.001635
1.5	0.8	3.325	3.32	0.00497	0.001497
1.6	0.8	3.601	3.597	0.004716	0.001311
1.7	0.8	3.9	3.896	0.004179	0.001073
1.8	0.8	4.224	4.221	0.003278	0.0007767
1.9	0.8	4.574	4.572	0.00192	0.0004199
0.1	0.9	1.095	1.094	0.0004496	0.0004109
0.2	0.9	1.198	1.197	0.0008959	0.0007483
0.3	0.9	1.311	1.31	0.001341	0.001024
0.4	0.9	1.435	1.433	0.001788	0.001248
0.5	0.9	1.571	1.568	0.002239	0.001428
0.6	0.9	1.719	1.716	0.002695	0.00157
0.7	0.9	1.881	1.878	0.003156	0.001681
0.8	0.9	2.058	2.054	0.003619	0.001762
0.9	0.9	2.252	2.248	0.00408	0.001815
1	0.9	2.464	2.46	0.004529	0.001841
