x	y	V_num	V_ana	error_abs	error_rel
1.2	0.4	0.64	0.64	0	0
1.4	0.4	1	1	0	0
1.6	0.4	1.44	1.44	6.661e-16	4.626e-16
1.8	0.4	1.96	1.96	4.441e-16	2.266e-16
1.2	0.8	0.16	0.16	1.388e-16	8.674e-16
1.4	0.8	0.36	0.36	2.22e-16	6.168e-16
1.6	0.8	0.64	0.64	4.441e-16	6.939e-16
1.8	0.8	1	1	2.22e-16	2.22e-16
1.2	1.2	-7.633e-17	4.93e-32	7.633e-17	1.548e+15
1.4	1.2	0.04	0.04	7.633e-17	1.908e-15
1.6	1.2	0.16	0.16	1.943e-16	1.214e-15
1.8	1.2	0.36	0.36	1.11e-16	3.084e-16
1.2	1.6	0.16	0.16	1.11e-16	6.939e-16
1.4	1.6	0.04	0.04	1.318e-16	3.296e-15
1.6	1.6	-1.249e-16	0	1.249e-16	0
1.8	1.6	0.04	0.04	1.041e-16	2.602e-15
