x	y	V_num	V_ana	error_abs	error_rel
1.2	1.2	0.5254	0.5251	0.0002702	0.0005146
1.4	1.2	0.8719	0.8716	0.0003531	0.0004052
1.6	1.2	1.253	1.252	0.0003412	0.0002725
1.8	1.2	1.664	1.663	0.0002438	0.0001466
1.2	1.4	0.8719	0.8716	0.0003531	0.0004052
1.4	1.4	1.319	1.319	0.000465	0.0003526
1.6	1.4	1.807	1.807	0.0004397	0.0002434
1.8	1.4	2.329	2.329	0.000298	0.0001279
1.2	1.6	1.253	1.252	0.0003412	0.0002725
1.4	1.6	1.807	1.807	0.0004397	0.0002434
1.6	1.6	2.407	2.406	0.0004061	0.0001688
1.8	1.6	3.047	3.046	0.0002677	8.787e-05
1.2	1.8	1.664	1.663	0.0002438	0.0001466
1.4	1.8	2.329	2.329	0.000298	0.0001279
1.6	1.8	3.047	3.046	0.0002677	8.787e-05
1.8	1.8	3.809	3.809	0.0001752	4.6e-05
