x	y	V_num	V_ana	error_abs	error_rel
1.01	0.02	0.02029	0.02029	1.433e-07	7.059e-06
1.02	0.02	0.03999	0.03999	2.532e-07	6.332e-06
1.03	0.02	0.05949	0.05949	3.398e-07	5.711e-06
1.04	0.02	0.07881	0.07881	4.09e-07	5.189e-06
1.05	0.02	0.09794	0.09794	4.65e-07	4.748e-06
1.06	0.02	0.1169	0.1169	5.106e-07	4.368e-06
1.07	0.02	0.1357	0.1357	5.478e-07	4.038e-06
1.08	0.02	0.1543	0.1543	5.781e-07	3.747e-06
1.09	0.02	0.1727	0.1727	6.027e-07	3.49e-06
1.1	0.02	0.191	0.191	6.225e-07	3.26e-06
1.11	0.02	0.209	0.209	6.382e-07	3.053e-06
1.12	0.02	0.227	0.227	6.504e-07	2.866e-06
1.13	0.02	0.2447	0.2447	6.597e-07	2.695e-06
1.14	0.02	0.2624	0.2624	6.663e-07	2.54e-06
1.15	0.02	0.2798	0.2798	6.708e-07	2.397e-06
1.16	0.02	0.2971	0.2971	6.733e-07	2.266e-06
1.17	0.02	0.3143	0.3143	6.742e-07	2.145e-06
1.18	0.02	0.3313	0.3313	6.736e-07	2.033e-06
1.19	0.02	0.3482	0.3482	6.717e-07	1.929e-06
1.2	0.02	0.3649	0.3649	6.688e-07	1.833e-06
1.21	0.02	0.3815	0.3815	6.649e-07	1.743e-06
1.22	0.02	0.398	0.398	6.602e-07	1.659e-06
1.23	0.02	0.4143	0.4143	6.547e-07	1.58e-06
1.24	0.02	0.4305	0.4305	6.487e-07	1.507e-06
1.25	0.02	0.4465	0.4465	6.421e-07	1.438e-06
1.26	0.02	0.4625	0.4625	6.35e-07	1.373e-06
1.27	0.02	0.4783	0.4783	6.276e-07	1.312e-06
1.28	0.02	0.494	0.494	6.198e-07	1.255e-06
1.29	0.02	0.5095	0.5095	6.118e-07	1.201e-06
1.3	0.02	0.525	0.525	6.035e-07	1.15e-06
1.31	0.02	0.5403	0.5403	5.951e-07	1.101e-06
1.32	0.02	0.5555	0.5555	5.864e-07	1.056e-06
1.33	0.02	0.5706	0.5706	5.777e-07	1.012e-06
1.34	0.02	0.5856	0.5856	5.688e-07	9.715e-07
1.35	0.02	0.6004	0.6004	5.599e-07	9.326e-07
1.36	0.02	0.6152	0.6152	5.51e-07	8.956e-07
1.37	0.02	0.6298	0.6298	5.42e-07	8.605e-07
1.38	0.02	0.6444	0.6444	5.33e-07	8.271e-07
1.39	0.02	0.6588	0.6588	5.24e-07	7.954e-07
1.4	0.02	0.6731	0.6731	5.15e-07	7.651e-07
1.41	0.02	0.6874	0.6874	5.061e-07	7.362e-07
1.42	0.02	0.7015	0.7015	4.972e-07	7.087e-07
1.43	0.02	0.7155	0.7155	4.883e-07	6.824e-07
