x	y	V_num	V_ana	error_abs	error_rel
1.05	0.1	0.1066	0.1066	3.316e-05	0.000311
1.1	0.1	0.1988	0.1989	5.034e-05	0.0002532
1.15	0.1	0.287	0.2871	5.831e-05	0.0002031
1.2	0.1	0.3715	0.3716	6.093e-05	0.000164
1.25	0.1	0.4526	0.4527	6.046e-05	0.0001336
1.3	0.1	0.5306	0.5306	5.822e-05	0.0001097
1.35	0.1	0.6056	0.6057	5.503e-05	9.086e-05
1.4	0.1	0.678	0.678	5.136e-05	7.574e-05
1.45	0.1	0.7478	0.7479	4.748e-05	6.349e-05
1.5	0.1	0.8153	0.8154	4.356e-05	5.343e-05
1.55	0.1	0.8806	0.8807	3.969e-05	4.507e-05
1.6	0.1	0.9439	0.9439	3.588e-05	3.801e-05
1.65	0.1	1.005	1.005	3.213e-05	3.196e-05
1.7	0.1	1.065	1.065	2.84e-05	2.667e-05
1.75	0.1	1.122	1.122	2.463e-05	2.194e-05
1.8	0.1	1.179	1.179	2.072e-05	1.758e-05
1.85	0.1	1.233	1.233	1.655e-05	1.342e-05
1.9	0.1	1.286	1.286	1.192e-05	9.264e-06
1.95	0.1	1.338	1.338	6.548e-06	4.893e-06
1.05	0.2	0.1332	0.1332	3.681e-05	0.0002763
1.1	0.2	0.2231	0.2231	5.932e-05	0.0002658
1.15	0.2	0.3092	0.3093	7.205e-05	0.0002329
1.2	0.2	0.392	0.392	7.823e-05	0.0001995
1.25	0.2	0.4715	0.4716	8.01e-05	0.0001699
1.3	0.2	0.548	0.5481	7.917e-05	0.0001444
1.35	0.2	0.6218	0.6219	7.647e-05	0.000123
1.4	0.2	0.6931	0.6931	7.268e-05	0.0001049
1.45	0.2	0.7619	0.762	6.823e-05	8.955e-05
1.5	0.2	0.8285	0.8286	6.341e-05	7.653e-05
1.55	0.2	0.893	0.893	5.838e-05	6.537e-05
1.6	0.2	0.9555	0.9555	5.322e-05	5.569e-05
1.65	0.2	1.016	1.016	4.795e-05	4.719e-05
1.7	0.2	1.075	1.075	4.254e-05	3.957e-05
1.75	0.2	1.132	1.132	3.693e-05	3.261e-05
1.8	0.2	1.188	1.188	3.099e-05	2.609e-05
1.85	0.2	1.242	1.242	2.458e-05	1.979e-05
1.9	0.2	1.295	1.295	1.748e-05	1.35e-05
1.95	0.2	1.346	1.346	9.401e-06	6.984e-06
1.05	0.3	0.176	0.1761	2.794e-05	0.0001587
1.1	0.3	0.2623	0.2624	4.737e-05	0.0001805
1.15	0.3	0.3453	0.3454	6.013e-05	0.0001741
1.2	0.3	0.4252	0.4253	6.784e-05	0.0001595
1.25	0.3	0.5022	0.5023	7.181e-05	0.000143
1.3	0.3	0.5765	0.5766	7.306e-05	0.0001267
1.35	0.3	0.6483	0.6484	7.237e-05	0.0001116
1.4	0.3	0.7178	0.7178	7.031e-05	9.795e-05
1.45	0.3	0.785	0.785	6.728e-05	8.571e-05
1.5	0.3	0.8501	0.8502	6.357e-05	7.478e-05
1.55	0.3	0.9132	0.9133	5.937e-05	6.5e-05
1.6	0.3	0.9745	0.9746	5.477e-05	5.62e-05
1.65	0.3	1.034	1.034	4.982e-05	4.818e-05
1.7	0.3	1.092	1.092	4.454e-05	4.079e-05
1.75	0.3	1.148	1.148	3.885e-05	3.384e-05
1.8	0.3	1.203	1.203	3.269e-05	2.717e-05
1.85	0.3	1.256	1.256	2.591e-05	2.063e-05
1.9	0.3	1.308	1.308	1.835e-05	1.403e-05
1.95	0.3	1.359	1.359	9.803e-06	7.213e-06
1.05	0.4	0.2331	0.2331	1.424e-05	6.108e-05
1.1	0.4	0.3148	0.3148	2.623e-05	8.333e-05
1.15	0.4	0.3937	0.3937	3.568e-05	9.063e-05
1.2	0.4	0.47	0.47	4.268e-05	9.08e-05
1.25	0.4	0.5437	0.5438	4.748e-05	8.732e-05
1.3	0.4	0.6151	0.6152	5.044e-05	8.199e-05
1.35	0.4	0.6843	0.6844	5.187e-05	7.579e-05
1.4	0.4	0.7514	0.7514	5.207e-05	6.929e-05
1.45	0.4	0.8164	0.8165	5.127e-05	6.28e-05
1.5	0.4	0.8796	0.8796	4.968e-05	5.648e-05
1.55	0.4	0.9409	0.941	4.741e-05	5.039e-05
1.6	0.4	1.001	1.001	4.458e-05	4.455e-05
1.65	0.4	1.059	1.059	4.121e-05	3.893e-05
1.7	0.4	1.115	1.115	3.734e-05	3.348e-05
1.75	0.4	1.17	1.17	3.293e-05	2.814e-05
1.8	0.4	1.224	1.224	2.794e-05	2.283e-05
1.85	0.4	1.276	1.276	2.227e-05	1.745e-05
1.9	0.4	1.327	1.327	1.582e-05	1.192e-05
1.95	0.4	1.377	1.377	8.454e-06	6.14e-06
1.05	0.5	0.302	0.302	3.303e-07	1.094e-06
1.1	0.5	0.3784	0.3784	3.523e-06	9.309e-06
1.15	0.5	0.4527	0.4527	7.92e-06	1.75e-05
1.2	0.5	0.5247	0.5247	1.253e-05	2.388e-05
1.25	0.5	0.5947	0.5947	1.68e-05	2.825e-05
1.3	0.5	0.6627	0.6627	2.045e-05	3.086e-05
1.35	0.5	0.7287	0.7288	2.336e-05	3.205e-05
1.4	0.5	0.793	0.793	2.55e-05	3.215e-05
1.45	0.5	0.8555	0.8555	2.69e-05	3.144e-05
1.5	0.5	0.9163	0.9163	2.76e-05	3.012e-05
1.55	0.5	0.9755	0.9755	2.764e-05	2.834e-05
1.6	0.5	1.033	1.033	2.708e-05	2.621e-05
1.65	0.5	1.089	1.089	2.592e-05	2.379e-05
1.7	0.5	1.144	1.144	2.419e-05	2.114e-05
1.75	0.5	1.198	1.198	2.187e-05	1.826e-05
1.8	0.5	1.25	1.25	1.893e-05	1.515e-05
1.85	0.5	1.301	1.301	1.535e-05	1.18e-05
1.9	0.5	1.351	1.351	1.105e-05	8.178e-06
1.95	0.5	1.399	1.399	5.958e-06	4.258e-06
1.05	0.6	0.3802	0.3801	1.121e-05	2.949e-05
1.1	0.6	0.4511	0.4511	1.624e-05	3.599e-05
1.15	0.6	0.5203	0.5203	1.731e-05	3.326e-05
1.2	0.6	0.5878	0.5878	1.598e-05	2.718e-05
1.25	0.6	0.6536	0.6536	1.331e-05	2.036e-05
1.3	0.6	0.7178	0.7178	1.001e-05	1.394e-05
1.35	0.6	0.7805	0.7805	6.533e-06	8.371e-06
1.4	0.6	0.8416	0.8416	3.181e-06	3.78e-06
1.45	0.6	0.9012	0.9012	1.302e-07	1.445e-07
1.5	0.6	0.9593	0.9594	2.512e-06	2.618e-06
1.55	0.6	1.016	1.016	4.685e-06	4.611e-06
1.6	0.6	1.072	1.072	6.358e-06	5.933e-06
1.65	0.6	1.126	1.126	7.511e-06	6.672e-06
1.7	0.6	1.179	1.179	8.135e-06	6.902e-06
1.75	0.6	1.23	1.23	8.218e-06	6.679e-06
1.8	0.6	1.281	1.281	7.749e-06	6.049e-06
1.85	0.6	1.33	1.33	6.712e-06	5.045e-06
1.9	0.6	1.379	1.379	5.09e-06	3.691e-06
1.95	0.6	1.426	1.426	2.859e-06	2.005e-06
1.05	0.7	0.4653	0.4653	1.939e-05	4.168e-05
1.1	0.7	0.5307	0.5306	3.098e-05	5.838e-05
1.15	0.7	0.5947	0.5947	3.7e-05	6.222e-05
1.2	0.7	0.6576	0.6575	3.915e-05	5.954e-05
1.25	0.7	0.7191	0.7191	3.868e-05	5.379e-05
1.3	0.7	0.7794	0.7793	3.651e-05	4.685e-05
1.35	0.7	0.8384	0.8383	3.331e-05	3.973e-05
1.4	0.7	0.8961	0.8961	2.956e-05	3.299e-05
1.45	0.7	0.9526	0.9526	2.558e-05	2.685e-05
1.5	0.7	1.008	1.008	2.162e-05	2.145e-05
1.55	0.7	1.062	1.062	1.781e-05	1.677e-05
1.6	0.7	1.115	1.115	1.428e-05	1.281e-05
1.65	0.7	1.167	1.167	1.109e-05	9.502e-06
1.7	0.7	1.218	1.218	8.275e-06	6.794e-06
1.75	0.7	1.268	1.268	5.865e-06	4.627e-06
1.8	0.7	1.316	1.316	3.872e-06	2.941e-06
1.85	0.7	1.364	1.364	2.298e-06	1.685e-06
1.9	0.7	1.411	1.411	1.138e-06	8.068e-07
1.95	0.7	1.457	1.457	3.798e-07	2.607e-07
