x	y	V_num	V_ana	error_abs	error_rel
1.1	0.2	0.2229	0.2231	0.0002261	0.001013
1.2	0.2	0.3917	0.392	0.0003018	0.0007697
1.3	0.2	0.5478	0.5481	0.0003087	0.0005632
1.4	0.2	0.6929	0.6931	0.0002857	0.0004122
1.5	0.2	0.8283	0.8286	0.0002507	0.0003026
1.6	0.2	0.9553	0.9555	0.000211	0.0002208
1.7	0.2	1.075	1.075	0.0001688	0.000157
1.8	0.2	1.188	1.188	0.0001227	0.0001033
1.9	0.2	1.295	1.295	6.895e-05	5.325e-05
1.1	0.4	0.3147	0.3148	0.0001011	0.000321
1.2	0.4	0.4698	0.47	0.0001639	0.0003488
1.3	0.4	0.615	0.6152	0.0001943	0.0003158
1.4	0.4	0.7512	0.7514	0.0002015	0.0002681
1.5	0.4	0.8794	0.8796	0.0001931	0.0002195
1.6	0.4	1	1.001	0.0001739	0.0001738
1.7	0.4	1.115	1.115	0.0001461	0.000131
1.8	0.4	1.224	1.224	0.0001094	8.943e-05
1.9	0.4	1.327	1.327	6.206e-05	4.676e-05
1.1	0.6	0.4511	0.4511	6.486e-05	0.0001438
1.2	0.6	0.5879	0.5878	6.592e-05	0.0001122
1.3	0.6	0.7179	0.7178	4.385e-05	6.109e-05
1.4	0.6	0.8416	0.8416	1.745e-05	2.073e-05
1.5	0.6	0.9593	0.9594	5.253e-06	5.476e-06
1.6	0.6	1.072	1.072	2.113e-05	1.972e-05
1.7	0.6	1.179	1.179	2.907e-05	2.467e-05
1.8	0.6	1.281	1.281	2.858e-05	2.231e-05
1.9	0.6	1.379	1.379	1.912e-05	1.386e-05
1.1	0.8	0.6153	0.6152	0.0001604	0.0002607
1.2	0.8	0.7326	0.7324	0.0002218	0.0003028
1.3	0.8	0.8461	0.8459	0.000228	0.0002695
1.4	0.8	0.9557	0.9555	0.0002058	0.0002154
1.5	0.8	1.061	1.061	0.0001711	0.0001612
1.6	0.8	1.163	1.163	0.0001325	0.0001139
1.7	0.8	1.261	1.261	9.479e-05	7.515e-05
1.8	0.8	1.356	1.356	5.995e-05	4.422e-05
1.9	0.8	1.447	1.447	2.856e-05	1.974e-05
1.1	1	0.7932	0.793	0.0001834	0.0002312
1.2	1	0.8923	0.892	0.000277	0.0003105
1.3	1	0.9899	0.9895	0.0003098	0.0003131
1.4	1	1.085	1.085	0.0003035	0.0002797
1.5	1	1.179	1.179	0.0002734	0.0002319
1.6	1	1.27	1.27	0.0002294	0.0001806
1.7	1	1.359	1.358	0.0001777	0.0001308
1.8	1	1.445	1.445	0.0001218	8.428e-05
1.9	1	1.528	1.528	6.267e-05	4.101e-05
1.1	1.2	0.9747	0.9746	0.0001644	0.0001687
1.2	1.2	1.058	1.058	0.0002628	0.0002484
1.3	1.2	1.141	1.141	0.0003095	0.0002712
1.4	1.2	1.224	1.224	0.0003178	0.0002597
1.5	1.2	1.306	1.306	0.0002987	0.0002288
1.6	1.2	1.387	1.386	0.0002605	0.0001879
1.7	1.2	1.466	1.466	0.0002089	0.0001425
1.8	1.2	1.543	1.543	0.0001474	9.55e-05
1.9	1.2	1.619	1.619	7.773e-05	4.8e-05
1.1	1.4	1.154	1.154	0.0001287	0.0001116
1.2	1.4	1.224	1.224	0.000214	0.0001749
1.3	1.4	1.295	1.295	0.0002614	0.0002019
1.4	1.4	1.366	1.366	0.0002774	0.000203
1.5	1.4	1.438	1.437	0.0002685	0.0001868
1.6	1.4	1.509	1.509	0.0002403	0.0001593
1.7	1.4	1.579	1.579	0.0001971	0.0001248
1.8	1.4	1.649	1.649	0.0001418	8.598e-05
1.9	1.4	1.717	1.717	7.593e-05	4.421e-05
1.1	1.6	1.327	1.327	8.894e-05	6.702e-05
1.2	1.6	1.386	1.386	0.0001519	0.0001095
1.3	1.6	1.447	1.447	0.00019	0.0001313
1.4	1.6	1.509	1.509	0.0002063	0.0001367
1.5	1.6	1.571	1.571	0.0002038	0.0001298
1.6	1.6	1.633	1.633	0.0001859	0.0001138
1.7	1.6	1.696	1.696	0.0001551	9.148e-05
1.8	1.6	1.758	1.758	0.0001133	6.448e-05
1.9	1.6	1.82	1.82	6.16e-05	3.385e-05
1.1	1.8	1.493	1.493	4.794e-05	3.211e-05
1.2	1.8	1.543	1.543	8.275e-05	5.362e-05
1.3	1.8	1.595	1.595	0.0001048	6.57e-05
1.4	1.8	1.649	1.649	0.0001152	6.988e-05
1.5	1.8	1.703	1.703	0.0001153	6.773e-05
1.6	1.8	1.758	1.758	0.0001066	6.066e-05
1.7	1.8	1.813	1.813	9.03e-05	4.98e-05
1.8	1.8	1.869	1.869	6.711e-05	3.591e-05
1.9	1.8	1.924	1.924	3.724e-05	1.935e-05
