x	y	V_num	V_ana	error_abs	error_rel
1.02	0.04	0.9604	0.9604	0	0
1.04	0.04	1	1	3.331e-16	3.331e-16
1.06	0.04	1.04	1.04	4.441e-16	4.268e-16
1.08	0.04	1.082	1.082	8.882e-16	8.212e-16
1.1	0.04	1.124	1.124	1.554e-15	1.383e-15
1.12	0.04	1.166	1.166	6.661e-16	5.711e-16
1.14	0.04	1.21	1.21	6.661e-16	5.505e-16
1.16	0.04	1.254	1.254	0	0
1.18	0.04	1.3	1.3	0	0
1.2	0.04	1.346	1.346	2.22e-16	1.65e-16
1.22	0.04	1.392	1.392	4.441e-16	3.189e-16
1.24	0.04	1.44	1.44	4.441e-16	3.084e-16
1.26	0.04	1.488	1.488	2.22e-16	1.492e-16
1.28	0.04	1.538	1.538	2.22e-16	1.444e-16
1.3	0.04	1.588	1.588	0	0
1.32	0.04	1.638	1.638	2.22e-16	1.355e-16
1.34	0.04	1.69	1.69	2.22e-16	1.314e-16
1.36	0.04	1.742	1.742	0	0
1.38	0.04	1.796	1.796	0	0
1.4	0.04	1.85	1.85	6.661e-16	3.602e-16
1.42	0.04	1.904	1.904	2.22e-16	1.166e-16
1.44	0.04	1.96	1.96	0	0
1.46	0.04	2.016	2.016	4.441e-16	2.202e-16
1.48	0.04	2.074	2.074	0	0
1.5	0.04	2.132	2.132	4.441e-16	2.083e-16
1.52	0.04	2.19	2.19	4.441e-16	2.027e-16
1.54	0.04	2.25	2.25	0	0
1.56	0.04	2.31	2.31	0	0
1.58	0.04	2.372	2.372	4.441e-16	1.873e-16
1.6	0.04	2.434	2.434	0	0
1.62	0.04	2.496	2.496	0	0
1.64	0.04	2.56	2.56	8.882e-16	3.469e-16
1.66	0.04	2.624	2.624	8.882e-16	3.384e-16
1.68	0.04	2.69	2.69	8.882e-16	3.302e-16
1.7	0.04	2.756	2.756	4.441e-16	1.612e-16
1.72	0.04	2.822	2.822	0	0
1.74	0.04	2.89	2.89	0	0
1.76	0.04	2.958	2.958	4.441e-16	1.501e-16
1.78	0.04	3.028	3.028	4.441e-16	1.467e-16
1.8	0.04	3.098	3.098	1.332e-15	4.301e-16
1.82	0.04	3.168	3.168	2.22e-15	7.008e-16
1.84	0.04	3.24	3.24	1.332e-15	4.112e-16
1.86	0.04	3.312	3.312	1.776e-15	5.363e-16
1.88	0.04	3.386	3.386	1.332e-15	3.935e-16
1.9	0.04	3.46	3.46	1.332e-15	3.851e-16
1.92	0.04	3.534	3.534	4.441e-16	1.256e-16
1.94	0.04	3.61	3.61	1.332e-15	3.69e-16
1.96	0.04	3.686	3.686	8.882e-16	2.409e-16
1.98	0.04	3.764	3.764	4.441e-16	1.18e-16
1.02	0.08	0.8836	0.8836	4.441e-16	5.026e-16
1.04	0.08	0.9216	0.9216	6.661e-16	7.228e-16
1.06	0.08	0.9604	0.9604	6.661e-16	6.936e-16
1.08	0.08	1	1	7.772e-16	7.772e-16
1.1	0.08	1.04	1.04	8.882e-16	8.537e-16
1.12	0.08	1.082	1.082	1.11e-15	1.026e-15
1.14	0.08	1.124	1.124	8.882e-16	7.905e-16
1.16	0.08	1.166	1.166	0	0
1.18	0.08	1.21	1.21	0	0
1.2	0.08	1.254	1.254	0	0
1.22	0.08	1.3	1.3	0	0
1.24	0.08	1.346	1.346	2.22e-16	1.65e-16
1.26	0.08	1.392	1.392	2.22e-16	1.595e-16
1.28	0.08	1.44	1.44	2.22e-16	1.542e-16
1.3	0.08	1.488	1.488	2.22e-16	1.492e-16
1.32	0.08	1.538	1.538	6.661e-16	4.332e-16
1.34	0.08	1.588	1.588	6.661e-16	4.196e-16
1.36	0.08	1.638	1.638	2.22e-16	1.355e-16
1.38	0.08	1.69	1.69	2.22e-16	1.314e-16
1.4	0.08	1.742	1.742	4.441e-16	2.549e-16
1.42	0.08	1.796	1.796	2.22e-16	1.237e-16
1.44	0.08	1.85	1.85	8.882e-16	4.802e-16
1.46	0.08	1.904	1.904	6.661e-16	3.498e-16
1.48	0.08	1.96	1.96	6.661e-16	3.399e-16
