x	y	V_num	V_ana	error_abs	error_rel
0.04	0.04	1.002	1.002	1.308e-06	1.306e-06
0.08	0.04	1.003	1.003	2.617e-06	2.608e-06
0.12	0.04	1.005	1.005	3.925e-06	3.906e-06
0.16	0.04	1.006	1.006	5.234e-06	5.2e-06
0.2	0.04	1.008	1.008	6.542e-06	6.49e-06
0.24	0.04	1.01	1.01	7.851e-06	7.776e-06
0.28	0.04	1.011	1.011	9.161e-06	9.059e-06
0.32	0.04	1.013	1.013	1.047e-05	1.034e-05
0.36	0.04	1.015	1.015	1.178e-05	1.161e-05
0.4	0.04	1.016	1.016	1.309e-05	1.288e-05
0.44	0.04	1.018	1.018	1.44e-05	1.415e-05
0.48	0.04	1.019	1.019	1.571e-05	1.541e-05
0.52	0.04	1.021	1.021	1.702e-05	1.667e-05
0.56	0.04	1.023	1.023	1.833e-05	1.793e-05
0.6	0.04	1.024	1.024	1.964e-05	1.917e-05
0.64	0.04	1.026	1.026	2.094e-05	2.041e-05
0.68	0.04	1.028	1.028	2.224e-05	2.165e-05
0.72	0.04	1.029	1.029	2.354e-05	2.287e-05
0.76	0.04	1.031	1.031	2.482e-05	2.408e-05
0.8	0.04	1.033	1.033	2.61e-05	2.527e-05
0.84	0.04	1.034	1.034	2.736e-05	2.645e-05
0.88	0.04	1.036	1.036	2.86e-05	2.761e-05
0.92	0.04	1.038	1.037	2.982e-05	2.874e-05
0.96	0.04	1.039	1.039	3.101e-05	2.984e-05
1	0.04	1.041	1.041	3.217e-05	3.09e-05
1.04	0.04	1.043	1.042	3.328e-05	3.193e-05
1.08	0.04	1.044	1.044	3.435e-05	3.29e-05
1.12	0.04	1.046	1.046	3.536e-05	3.381e-05
1.16	0.04	1.048	1.047	3.631e-05	3.466e-05
1.2	0.04	1.049	1.049	3.718e-05	3.543e-05
1.24	0.04	1.051	1.051	3.795e-05	3.612e-05
1.28	0.04	1.053	1.053	3.863e-05	3.67e-05
1.32	0.04	1.054	1.054	3.918e-05	3.717e-05
1.36	0.04	1.056	1.056	3.961e-05	3.751e-05
1.4	0.04	1.058	1.058	3.987e-05	3.77e-05
1.44	0.04	1.059	1.059	3.997e-05	3.773e-05
1.48	0.04	1.061	1.061	3.986e-05	3.757e-05
1.52	0.04	1.063	1.063	3.954e-05	3.721e-05
1.56	0.04	1.064	1.064	3.897e-05	3.661e-05
1.6	0.04	1.066	1.066	3.811e-05	3.575e-05
1.64	0.04	1.068	1.068	3.694e-05	3.459e-05
1.68	0.04	1.07	1.07	3.541e-05	3.311e-05
1.72	0.04	1.071	1.071	3.347e-05	3.125e-05
1.76	0.04	1.073	1.073	3.107e-05	2.896e-05
1.8	0.04	1.075	1.075	2.814e-05	2.619e-05
1.84	0.04	1.076	1.076	2.459e-05	2.285e-05
1.88	0.04	1.078	1.078	2.029e-05	1.882e-05
1.92	0.04	1.08	1.08	1.504e-05	1.392e-05
1.96	0.04	1.082	1.082	8.505e-06	7.864e-06
0.04	0.08	1.003	1.003	2.617e-06	2.608e-06
0.08	0.08	1.006	1.006	5.234e-06	5.2e-06
0.12	0.08	1.01	1.01	7.85e-06	7.775e-06
0.16	0.08	1.013	1.013	1.047e-05	1.033e-05
0.2	0.08	1.016	1.016	1.308e-05	1.288e-05
0.24	0.08	1.019	1.019	1.57e-05	1.54e-05
0.28	0.08	1.023	1.023	1.832e-05	1.791e-05
0.32	0.08	1.026	1.026	2.094e-05	2.041e-05
0.36	0.08	1.029	1.029	2.356e-05	2.289e-05
0.4	0.08	1.033	1.033	2.618e-05	2.535e-05
0.44	0.08	1.036	1.036	2.879e-05	2.78e-05
0.48	0.08	1.039	1.039	3.141e-05	3.023e-05
0.52	0.08	1.043	1.042	3.403e-05	3.264e-05
0.56	0.08	1.046	1.046	3.664e-05	3.504e-05
0.6	0.08	1.049	1.049	3.925e-05	3.741e-05
0.64	0.08	1.053	1.053	4.185e-05	3.977e-05
0.68	0.08	1.056	1.056	4.445e-05	4.209e-05
